Order_ID	Order_Date	Customer_ID	Customer_Name	Product_ID	Product_Name	Product_Category	Supplier	Warehouse	Region	Delivery_City	Quantity_Ordered	Unit_Cost	Unit_Selling_Price	Sales_Amount	Total_Cost	Profit	Profit_Margin	Payment_Status	Payment_Amount	Outstanding_Amount	Order_Status	Shipping_Method	Carrier	Shipping_Cost	Expected_Delivery_Date	Actual_Delivery_Date	Delivery_Days	Delivery_Status	Inventory_Before_Order	Inventory_After_Order	Stock_Status	Discount_Percentage	Final_Sales_Amount	Order_Priority	Customer_Type	Payment_Date	Return_Status	Return_Quantity			
ORD00001	2025-07-23 00:00:00	CUST_030	Client Business 30 Ltd	PROD_A01	Heavy Duty Commercial Truck Tire 12R22.5	Automotive Parts	Dangote Logistics & Supplies Ltd	Kano Commercial Warehouse	Kano	Fagge	20	110000	165000	3300000	2200000	1100000	0.333333333	Paid	3300000	0	Completed	Air	Speedaf Express	23231.63	2025-07-25 00:00:00	2025-07-26 00:00:00	3	Delayed	58	38	In Stock	0	3300000	Medium	Retail	2025-07-24 00:00:00	No Return	0			
ORD00002	2024-11-17 00:00:00	CUST_008	Client Business 8 Ltd	PROD_I02	Electric Forklift Battery Unit	Industrial Equipment	Zenith Global Procurement	Kano Commercial Warehouse	Lagos	Apapa	39	950000	1400000	54600000	37050000	17550000	0.321428571	Paid	51870000	2730000	Pending	Road	MAX.ng Freight	20298.02	2024-11-20 00:00:00			Pending	47	8	Low Stock	0.05	51870000	Low	Corporate	2024-11-18 00:00:00	No Return	0			
ORD00003	2024-09-03 00:00:00	CUST_012	Client Business 12 Ltd	PROD_C01	Portland Cement 50kg Bag (Pallet of 100)	Construction Materials	BUA Group Procurement	Port Harcourt Coastal Depot	Kaduna	Zaria	13	450000	580000	7540000	5850000	1690000	0.224137931	Paid	7540000	0	Completed	Road	GIG Logistics	14685.46	2024-09-05 00:00:00	2024-09-05 00:00:00	2	On Time	178	165	In Stock	0	7540000	Medium	Corporate	2024-09-10 00:00:00	No Return	0			
ORD00004	2025-01-10 00:00:00	CUST_013	Apex Global Enterprise 13	PROD_E02	Lithium Battery Pack 48V	Electronics	MainOne Distribution	Ibadan Western Hub	Abuja	Gwarinpa	69	450000	620000	42780000	31050000	11730000	0.274193548	Paid	42780000	0	Completed	Courier	Chisco Logistics	30941.45	2025-01-17 00:00:00	2025-01-16 00:00:00	6	On Time	76	7	Low Stock	0	42780000	Medium	Corporate	2025-01-10 00:00:00	No Return	0			
ORD00005	2025-07-07 00:00:00	CUST_026	Client Business 26 Ltd	PROD_A03	Heavy Duty Truck Brake Shoe Set	Automotive Parts	Stallion Motors Distribution	Abuja Inland Logistics Depot	Abuja	Wuse	60	22000	36000	2160000	1320000	840000	0.388888889	Paid	2160000	0	Completed	Road	GIG Logistics	39910.17	2025-07-14 00:00:00	2025-07-17 00:00:00	10	Delayed	210	150	In Stock	0	2160000	Low	Corporate	2025-07-15 00:00:00	No Return	0			
ORD00006	2025-03-29 00:00:00	CUST_018	Client Business 18 Ltd	PROD_P01	Industrial Stretch Wrap Film (6 Rolls)	Packaging Materials	SinoHydro Equipment Ltd	Lagos Mega Central Hub	Enugu	Nsukka	22	15000	24000	528000	330000	198000	0.375	Paid	448800	79200	Completed	Road	ABC Transport Logistics	13888.66	2025-04-04 00:00:00	2025-04-04 00:00:00	6	On Time	124	102	In Stock	0.15	448800	High	Wholesale	2025-04-02 00:00:00	No Return	0			
ORD00007	2024-08-11 00:00:00	CUST_020	Client Business 20 Ltd	PROD_H03	Heavy Duty Standing Industrial Fan	Home Appliances	Tropical General Distribution	Ibadan Western Hub	Kano	Fagge	42	18000	32000	1344000	756000	588000	0.4375	Paid	1075200	268800	Completed	Road	ABC Transport Logistics	38250.11	2024-08-14 00:00:00	2024-08-15 00:00:00	4	Delayed	28	-14	Out of Stock	0.2	1075200	High	Retail	2024-08-23 00:00:00	No Return	0			
ORD00008	2024-02-18 00:00:00	CUST_016	Client Business 16 Ltd	PROD_O01	Ergonomic Executive Mesh Chair	Office Supplies	Zenith Global Procurement	Abuja Inland Logistics Depot	Enugu	Udi	70	45000	75000	5250000	3150000	2100000	0.4	Overdue	0	5250000	Completed	Road	Konga Express	38839.65	2024-02-21 00:00:00	2024-02-21 00:00:00	3	On Time	141	71	In Stock	0	5250000	Critical	Retail		Partial Return	21			
ORD00009	2025-11-27 00:00:00	CUST_003	Apex Global Enterprise 3	PROD_I01	Hydraulic Pallet Truck 3-Ton	Industrial Equipment	MainOne Distribution	Abuja Inland Logistics Depot	Abuja	Wuse	27	150000	220000	5940000	4050000	1890000	0.318181818	Paid	5346000	594000	Completed	Road	DHL Express Nigeria	15239.49	2025-12-01 00:00:00	2025-12-01 00:00:00	4	On Time	21	-6	Out of Stock	0.1	5346000	Low	Corporate	2025-11-30 00:00:00	No Return	0			
ORD00010	2025-06-15 00:00:00	CUST_027	Apex Global Enterprise 27	PROD_P01	Industrial Stretch Wrap Film (6 Rolls)	Packaging Materials	Honeywell Logistics	Lagos Mega Central Hub	Abuja	Garki	16	15000	24000	384000	240000	144000	0.375	Partial	131998.28	252001.72	Completed	Air	Red Star Express	28341.65	2025-06-22 00:00:00	2025-06-22 00:00:00	7	On Time	53	37	In Stock	0.15	326400	Critical	Retail	2025-07-01 00:00:00	No Return	0			
